Auffälligkeiten:
- die kleineren Tasks checkcontrast, loadimage und wirteimage weichen weiterhin erheblich ab
- bei sobelv/sobelh  gibt es bei 2 core eine höhere Abweichung, bei 3 core teilweise wieder näher, aber einzelne Messungen weichen erheblich ab
- grundsätzlich - die drei Messungen müssten immer annähernd gleich sein

CPUFrequency;Parallelism;apptask;apptaskduration;apptaskpower;estimationOneToOne;estimationOneToMany;diffOneToOne;diffOneToMany
2400;2;combineimgs;4873 MS;7474 MJ/MS;6070 MJ/MS;7853 MJ/MS;-18.7851%;5.07091%;
2400;2;combineimgs;4879 MS;7468 MJ/MS;6017 MJ/MS;7866 MJ/MS;-19.4296%;5.32941%;

2400;2;writeimage;3659 MS;8211 MJ/MS;6161 MJ/MS;5365 MJ/MS;-24.9665%;-34.6608%;
2400;2;writeimage;4244 MS;8237 MJ/MS;7294 MJ/MS;5380 MJ/MS;-11.4483%;-34.685%;
2400;2;writeimage;4241 MS;8234 MJ/MS;7297 MJ/MS;5403 MJ/MS;-11.3796%;-34.3818%;

2400;3;checkcontrast;14818 MS;5477 MJ/MS;7878 MJ/MS;6484 MJ/MS;43.8379%;18.386%;
2400;3;checkcontrast;9884 MS;5475 MJ/MS;7874 MJ/MS;6491 MJ/MS;43.8174%;18.5571%;
2400;3;checkcontrast;14826 MS;5472 MJ/MS;7965 MJ/MS;4119 MJ/MS;45.5592%;-24.7259%;

2400;3;loadimage;2725 MS;7992 MJ/MS;6911 MJ/MS;4605 MJ/MS;-13.526%;-42.3799%;
2400;3;loadimage;3059 MS;8142 MJ/MS;5794 MJ/MS;5789 MJ/MS;-28.8381%;-28.8995%;
2400;3;loadimage;2721 MS;7969 MJ/MS;7113 MJ/MS;5715 MJ/MS;-10.7416%;-28.2846%;

2400;3;greyscale;4889 MS;10122 MJ/MS;9325 MJ/MS;8905 MJ/MS;-7.87394%;-12.0233%;
2400;3;greyscale;4767 MS;10081 MJ/MS;9171 MJ/MS;8842 MJ/MS;-9.02688%;-12.2904%;
2400;3;greyscale;4136 MS;10082 MJ/MS;9261 MJ/MS;8630 MJ/MS;-8.14323%;-14.4019%;

2400;3;sharpencontrast;4687 MS;10147 MJ/MS;6416 MJ/MS;8050 MJ/MS;-36.7695%;-20.6662%;
2400;3;sharpencontrast;4793 MS;10203 MJ/MS;6282 MJ/MS;8001 MJ/MS;-38.4299%;-21.5819%;
2400;3;sharpencontrast;4807 MS;10112 MJ/MS;6300 MJ/MS;7246 MJ/MS;-37.6978%;-28.3426%;

2400;3;copyimage;4701 MS;10028 MJ/MS;9231 MJ/MS;8253 MJ/MS;-7.94775%;-17.7004%;
2400;3;copyimage;4707 MS;10138 MJ/MS;9390 MJ/MS;8615 MJ/MS;-7.37818%;-15.0227%;
