app;duration;power;leistung
./gen/tasktypes/m4x4smul_SIMD.sh 1;5049;22550968;4466
gen/tasktypes/onetomany/checkcontrast.sh 1;5031;19645640;3904

checkcontrast;3300;16962847;5140

./gen/tasktypes/m4x4smul_SIMD.sh 1;5031;22497928;4471
gen/tasktypes/onetomany/checkcontrast.sh 1;5028;19650707;3908

checkcontrast;4935;25329342;5132

./gen/tasktypes/m4x4smul_SIMD.sh 1;5039;22442997;4453
gen/tasktypes/onetomany/checkcontrast.sh 1;5027;20025278;3983

checkcontrast;4935;25185543;5103

./gen/tasktypes/dmem64_SIMD.sh 1;5030;20889473;4152
gen/tasktypes/onetomany/loadimage.sh 1;5028;17820206;3544

loadimage;1950;11310946;5800

./gen/tasktypes/dmem64_SIMD.sh 1;5028;20814095;4139
gen/tasktypes/onetomany/loadimage.sh 1;5026;17844132;3550

loadimage;1961;11232577;5727

./gen/tasktypes/dmem64_SIMD.sh 1;5031;20760384;4126
gen/tasktypes/onetomany/loadimage.sh 1;5025;17896743;3561

loadimage;1956;11413667;5835

./gen/tasktypes/m4x4smul.sh 1;5041;25749751;5108
gen/tasktypes/onetomany/greyscale.sh 1;5036;24550840;4875

greyscale;4877;22233525;4558

./gen/tasktypes/m4x4smul.sh 1;5032;25585261;5084
gen/tasktypes/onetomany/greyscale.sh 1;5039;24438597;4849

greyscale;4594;21818365;4749

./gen/tasktypes/m4x4smul.sh 1;5040;25824885;5123
gen/tasktypes/onetomany/greyscale.sh 1;5039;24539244;4869

greyscale;4973;22771243;4578

./gen/tasktypes/vmov_SIMD.sh 1;5028;19422924;3862
gen/tasktypes/onetomany/sharpencontrast.sh 1;5033;22668399;4503

sharpencontrast;4882;22758609;4661

./gen/tasktypes/vmov_SIMD.sh 1;5028;19476635;3873
gen/tasktypes/onetomany/sharpencontrast.sh 1;5034;22703556;4510

sharpencontrast;4889;22771670;4657

./gen/tasktypes/vmov_SIMD.sh 1;5033;19302441;3835
gen/tasktypes/onetomany/sharpencontrast.sh 1;5033;22634830;4497

sharpencontrast;4879;22494755;4610

./gen/tasktypes/m4x4smul.sh 1;5041;25559077;5070
gen/tasktypes/onetomany/copyimage.sh 1;5034;24149962;4797

copyimage;4593;21592779;4701

./gen/tasktypes/m4x4smul.sh 1;5028;25552913;5082
gen/tasktypes/onetomany/copyimage.sh 1;5034;24147155;4796

copyimage;4970;23152101;4658

./gen/tasktypes/m4x4smul.sh 1;5037;25475216;5057
gen/tasktypes/onetomany/copyimage.sh 1;5038;23881591;4740

copyimage;4581;21522162;4698

./gen/tasktypes/m4x4smul.sh 1;5032;25670649;5101
gen/tasktypes/onetomany/sobelh.sh 1;5035;24740720;4913

sobelh;4775;21852300;4576

./gen/tasktypes/m4x4smul.sh 1;5040;25634395;5086
gen/tasktypes/onetomany/sobelh.sh 1;5035;24603147;4886

sobelh;4703;21538580;4579

./gen/tasktypes/m4x4smul.sh 1;5042;25566891;5070
gen/tasktypes/onetomany/sobelh.sh 1;5039;24717100;4905

sobelh;4703;21635870;4600

./gen/tasktypes/m4x4smul.sh 1;5042;25562007;5069
gen/tasktypes/onetomany/sobelv.sh 1;5037;24835691;4930

sobelv;4755;21739934;4572

./gen/tasktypes/m4x4smul.sh 1;5039;25667659;5093
gen/tasktypes/onetomany/sobelv.sh 1;5037;24689695;4901

sobelv;4778;21285529;4454

./gen/tasktypes/m4x4smul.sh 1;5035;25562312;5076
gen/tasktypes/onetomany/sobelv.sh 1;5037;24731871;4910

sobelv;4751;20971687;4414

./gen/tasktypes/imul.sh 1;5027;19652537;3909
gen/tasktypes/onetomany/combineimgs.sh 1;5035;24415220;4849

combineimgs;4871;22157963;4548

./gen/tasktypes/imul.sh 1;5034;19723888;3918
gen/tasktypes/onetomany/combineimgs.sh 1;5040;24536864;4868

combineimgs;4873;22180851;4551

./gen/tasktypes/imul.sh 1;5033;19723887;3918
gen/tasktypes/onetomany/combineimgs.sh 1;5032;24536924;4876

combineimgs;4504;20592965;4572

./gen/tasktypes/dmem.sh 1;5032;21833929;4339
gen/tasktypes/onetomany/writeimage.sh 1;5036;17869155;3548

writeimage;4513;28811267;6384

./gen/tasktypes/dmem.sh 1;5040;20996894;4166
gen/tasktypes/onetomany/writeimage.sh 1;5036;18029006;3580

writeimage;4490;28831042;6421

./gen/tasktypes/dmem.sh 1;5038;21469550;4261
gen/tasktypes/onetomany/writeimage.sh 1;5032;17945511;3566

writeimage;3873;24630003;6359

./gen/tasktypes/m4x4smul_SIMD.sh 2;5036;34608127;6872
gen/tasktypes/onetomany/checkcontrast.sh 2;5024;29071886;5786

checkcontrast;9876;51714712;5236

./gen/tasktypes/m4x4smul_SIMD.sh 2;5035;34639193;6879
gen/tasktypes/onetomany/checkcontrast.sh 2;5030;29075731;5780

checkcontrast;9877;52083607;5273

./gen/tasktypes/m4x4smul_SIMD.sh 2;5039;34819430;6909
gen/tasktypes/onetomany/checkcontrast.sh 2;5029;29229845;5812

checkcontrast;6590;34970308;5306

./gen/tasktypes/dmem64_SIMD.sh 2;5028;30857892;6137
gen/tasktypes/onetomany/loadimage.sh 2;5037;26190485;5199

loadimage;2009;17065203;8494

./gen/tasktypes/dmem64_SIMD.sh 2;5029;31008526;6165
gen/tasktypes/onetomany/loadimage.sh 2;5031;26243402;5216

loadimage;2281;19382092;8497

./gen/tasktypes/dmem64_SIMD.sh 2;5027;31169110;6200
gen/tasktypes/onetomany/loadimage.sh 2;5031;26192255;5206

loadimage;2329;19114026;8206

./gen/tasktypes/m4x4smul.sh 2;5043;42752760;8477
gen/tasktypes/onetomany/greyscale.sh 2;5044;40310504;7991

greyscale;4984;36205840;7264

./gen/tasktypes/m4x4smul.sh 2;5043;41809829;8290
gen/tasktypes/onetomany/greyscale.sh 2;5049;39082969;7740

greyscale;4892;35931549;7344

./gen/tasktypes/m4x4smul.sh 2;5046;41568742;8237
gen/tasktypes/onetomany/greyscale.sh 2;5041;38884483;7713

greyscale;5038;37459437;7435

./gen/tasktypes/vmov_SIMD.sh 2;5031;28636950;5692
gen/tasktypes/onetomany/sharpencontrast.sh 2;5043;35510102;7041

sharpencontrast;4900;35990813;7345

./gen/tasktypes/vmov_SIMD.sh 2;5030;28793323;5724
gen/tasktypes/onetomany/sharpencontrast.sh 2;5033;35521455;7057

sharpencontrast;4898;35903107;7330

./gen/tasktypes/vmov_SIMD.sh 2;5028;28715930;5711
gen/tasktypes/onetomany/sharpencontrast.sh 2;5033;35460664;7045

sharpencontrast;4896;36148284;7383

./gen/tasktypes/m4x4smul.sh 2;5048;41555863;8232
gen/tasktypes/onetomany/copyimage.sh 2;5044;38784996;7689

copyimage;4666;34172520;7323

./gen/tasktypes/m4x4smul.sh 2;5038;41353776;8208
gen/tasktypes/onetomany/copyimage.sh 2;5036;38661828;7677

copyimage;4310;31566570;7324

./gen/tasktypes/m4x4smul.sh 2;5044;41493973;8226
gen/tasktypes/onetomany/copyimage.sh 2;5029;38883201;7731

copyimage;4652;33851781;7276

./gen/tasktypes/m4x4smul.sh 2;5037;41525284;8244
gen/tasktypes/onetomany/sobelh.sh 2;5045;39321433;7794

sobelh;6453;42224013;6543

./gen/tasktypes/m4x4smul.sh 2;5038;41630509;8263
gen/tasktypes/onetomany/sobelh.sh 2;5041;39430564;7821

sobelh;6502;41755265;6421

./gen/tasktypes/m4x4smul.sh 2;5043;41770462;8282
gen/tasktypes/onetomany/sobelh.sh 2;5043;39473410;7827

sobelh;6440;42096206;6536

./gen/tasktypes/m4x4smul.sh 2;5037;41838455;8306
gen/tasktypes/onetomany/sobelv.sh 2;5035;39594869;7863

sobelv;6491;41056108;6325

./gen/tasktypes/m4x4smul.sh 2;5037;41678665;8274
gen/tasktypes/onetomany/sobelv.sh 2;5039;39579001;7854

sobelv;6417;40931719;6378

./gen/tasktypes/m4x4smul.sh 2;5039;41650101;8265
gen/tasktypes/onetomany/sobelv.sh 2;5041;39467124;7829

sobelv;6480;41017656;6329

./gen/tasktypes/imul.sh 2;5033;30080795;5976
gen/tasktypes/onetomany/combineimgs.sh 2;5041;39597738;7855

combineimgs;4878;36434782;7469

./gen/tasktypes/imul.sh 2;5036;29873581;5932
gen/tasktypes/onetomany/combineimgs.sh 2;5036;39534018;7850

combineimgs;4878;36567045;7496

./gen/tasktypes/imul.sh 2;5029;29983322;5962
gen/tasktypes/onetomany/combineimgs.sh 2;5041;39567709;7849

combineimgs;4441;33148780;7464

./gen/tasktypes/dmem.sh 2;5042;36101103;7160
gen/tasktypes/onetomany/writeimage.sh 2;5031;27109550;5388

writeimage;4251;34956026;8223

./gen/tasktypes/dmem.sh 2;5034;37186550;7387
gen/tasktypes/onetomany/writeimage.sh 2;5033;27119254;5388

writeimage;4235;34801791;8217

./gen/tasktypes/dmem.sh 2;5045;34366978;6812
gen/tasktypes/onetomany/writeimage.sh 2;5034;27105827;5384

writeimage;4284;35157930;8206

./gen/tasktypes/m4x4smul_SIMD.sh 3;5043;36768216;7290
gen/tasktypes/onetomany/checkcontrast.sh 3;5028;28154591;5599

checkcontrast;14831;80967322;5459

./gen/tasktypes/m4x4smul_SIMD.sh 3;5041;40084187;7951
gen/tasktypes/onetomany/checkcontrast.sh 3;5029;32572976;6477

checkcontrast;14814;80718726;5448

./gen/tasktypes/m4x4smul_SIMD.sh 3;5044;39802693;7891
gen/tasktypes/onetomany/checkcontrast.sh 3;5034;20880012;4147

checkcontrast;14826;80400917;5422

./gen/tasktypes/dmem64_SIMD.sh 3;5040;35422456;7028
gen/tasktypes/onetomany/loadimage.sh 3;5035;29473679;5853

loadimage;3037;24817014;8171

./gen/tasktypes/dmem64_SIMD.sh 3;5039;22064091;4378
gen/tasktypes/onetomany/loadimage.sh 3;5039;28157947;5588

loadimage;2726;21661932;7946

./gen/tasktypes/dmem64_SIMD.sh 3;5035;34811007;6913
gen/tasktypes/onetomany/loadimage.sh 3;5030;28624621;5690

loadimage;3084;24843321;8055

./gen/tasktypes/m4x4smul.sh 3;5044;47073549;9332
gen/tasktypes/onetomany/greyscale.sh 3;5045;44743598;8868

greyscale;4987;50231500;10072

./gen/tasktypes/m4x4smul.sh 3;5054;46869021;9273
gen/tasktypes/onetomany/greyscale.sh 3;5046;43449535;8610

greyscale;4313;43680002;10127

./gen/tasktypes/m4x4smul.sh 3;5039;46222049;9172
gen/tasktypes/onetomany/greyscale.sh 3;5046;43420177;8604

greyscale;4309;43648143;10129

./gen/tasktypes/vmov_SIMD.sh 3;5041;32536782;6454
gen/tasktypes/onetomany/sharpencontrast.sh 3;5033;39988484;7945

sharpencontrast;4909;49595821;10103

./gen/tasktypes/vmov_SIMD.sh 3;5032;31621074;6283
gen/tasktypes/onetomany/sharpencontrast.sh 3;5043;37006253;7338

sharpencontrast;4264;43231396;10138

./gen/tasktypes/vmov_SIMD.sh 3;5036;31838480;6322
gen/tasktypes/onetomany/sharpencontrast.sh 3;5033;40136677;7974

sharpencontrast;4910;49765498;10135

./gen/tasktypes/m4x4smul.sh 3;5058;46721194;9237
gen/tasktypes/onetomany/copyimage.sh 3;5038;27263786;5411

copyimage;3628;36065826;9940

./gen/tasktypes/m4x4smul.sh 3;5043;46359988;9192
gen/tasktypes/onetomany/copyimage.sh 3;5034;37734767;7495

