app;duration;power;leistung
./gen/tasktypes/m4x4smul_SIMD.sh 1;5058;22566043;4461
gen/tasktypes/onetomany/checkcontrast.sh 1;5034;19716686;3916

checkcontrast;5011;25681270;5124

./gen/tasktypes/m4x4smul_SIMD.sh 1;5033;22921877;4554
gen/tasktypes/onetomany/checkcontrast.sh 1;5029;19665904;3910

checkcontrast;5011;26225458;5233

./gen/tasktypes/m4x4smul_SIMD.sh 1;5036;22880862;4543
gen/tasktypes/onetomany/checkcontrast.sh 1;5028;19530407;3884

checkcontrast;5011;25588375;5106

./gen/tasktypes/dmem64_SIMD.sh 1;5030;20748238;4124
gen/tasktypes/onetomany/loadimage.sh 1;5035;17882950;3551

loadimage;5011;29351243;5857

./gen/tasktypes/dmem64_SIMD.sh 1;5029;20782723;4132
gen/tasktypes/onetomany/loadimage.sh 1;5031;17841019;3546

loadimage;5011;29226793;5832

./gen/tasktypes/dmem64_SIMD.sh 1;5029;20858528;4147
gen/tasktypes/onetomany/loadimage.sh 1;5031;17880753;3554

loadimage;5012;29274644;5840

./gen/tasktypes/m4x4smul.sh 1;5043;25669063;5090
gen/tasktypes/onetomany/greyscale.sh 1;5040;24465086;4854

greyscale;5039;23036379;4571

./gen/tasktypes/m4x4smul.sh 1;5041;25578182;5074
gen/tasktypes/onetomany/greyscale.sh 1;5034;24622068;4891

greyscale;5063;24083007;4756

./gen/tasktypes/m4x4smul.sh 1;5033;25520626;5070
gen/tasktypes/onetomany/greyscale.sh 1;5037;24438902;4851

greyscale;5071;24095154;4751

./gen/tasktypes/vmov_SIMD.sh 1;5027;19370129;3853
gen/tasktypes/onetomany/sharpencontrast.sh 1;5033;22717655;4513

sharpencontrast;5078;23775818;4682

./gen/tasktypes/vmov_SIMD.sh 1;5032;19268200;3829
gen/tasktypes/onetomany/sharpencontrast.sh 1;5032;22738894;4518

sharpencontrast;5079;23774170;4680

./gen/tasktypes/vmov_SIMD.sh 1;5028;19322704;3843
gen/tasktypes/onetomany/sharpencontrast.sh 1;5032;22738467;4518

sharpencontrast;5080;23786011;4682

./gen/tasktypes/m4x4smul.sh 1;5041;25634029;5085
gen/tasktypes/onetomany/copyimage.sh 1;5040;24187194;4799

copyimage;5021;23351442;4650

./gen/tasktypes/m4x4smul.sh 1;5038;25502987;5062
gen/tasktypes/onetomany/copyimage.sh 1;5040;23874573;4737

copyimage;5016;23439515;4672

./gen/tasktypes/m4x4smul.sh 1;5038;25567500;5074
gen/tasktypes/onetomany/copyimage.sh 1;5041;24201476;4800

copyimage;5022;23512879;4681

./gen/tasktypes/m4x4smul.sh 1;5036;25463741;5056
gen/tasktypes/onetomany/sobelh.sh 1;5032;24761655;4920

sobelh;5056;23237611;4596

./gen/tasktypes/m4x4smul.sh 1;5042;25611750;5079
gen/tasktypes/onetomany/sobelh.sh 1;5042;24768369;4912

sobelh;5188;23851746;4597

./gen/tasktypes/m4x4smul.sh 1;5037;25598507;5082
gen/tasktypes/onetomany/sobelh.sh 1;5036;24769712;4918

sobelh;5034;23652467;4698

./gen/tasktypes/m4x4smul.sh 1;5047;25534907;5059
gen/tasktypes/onetomany/sobelv.sh 1;5042;24678404;4894

sobelv;5081;22573734;4442

./gen/tasktypes/m4x4smul.sh 1;5039;25637203;5087
gen/tasktypes/onetomany/sobelv.sh 1;5034;24773190;4921

sobelv;5123;22736636;4438

./gen/tasktypes/m4x4smul.sh 1;5039;25564388;5073
gen/tasktypes/onetomany/sobelv.sh 1;5039;24728208;4907

sobelv;5180;23085085;4456

./gen/tasktypes/imul.sh 1;5031;19638133;3903
gen/tasktypes/onetomany/combineimgs.sh 1;5035;24565855;4879

combineimgs;5053;23831910;4716

./gen/tasktypes/imul.sh 1;5030;19530102;3882
gen/tasktypes/onetomany/combineimgs.sh 1;5036;24572264;4879

combineimgs;5055;23489136;4646

./gen/tasktypes/imul.sh 1;5027;19642711;3907
gen/tasktypes/onetomany/combineimgs.sh 1;5032;24508849;4870

combineimgs;5058;23230593;4592

./gen/tasktypes/dmem.sh 1;5038;21631719;4293
gen/tasktypes/onetomany/writeimage.sh 1;5029;17894974;3558

writeimage;5012;31973307;6379

./gen/tasktypes/dmem.sh 1;5033;21690557;4309
gen/tasktypes/onetomany/writeimage.sh 1;5030;17898331;3558

writeimage;5015;32038675;6388

./gen/tasktypes/dmem.sh 1;5036;21828740;4334
gen/tasktypes/onetomany/writeimage.sh 1;5030;17904068;3559

writeimage;5012;30872907;6159

./gen/tasktypes/m4x4smul_SIMD.sh 2;5037;34886751;6926
gen/tasktypes/onetomany/checkcontrast.sh 2;5027;29042284;5777

checkcontrast;5011;26956413;5379

./gen/tasktypes/m4x4smul_SIMD.sh 2;5034;34800692;6913
gen/tasktypes/onetomany/checkcontrast.sh 2;5030;29168321;5798

checkcontrast;5012;27193656;5425

./gen/tasktypes/m4x4smul_SIMD.sh 2;5036;34887545;6927
gen/tasktypes/onetomany/checkcontrast.sh 2;5033;29044604;5770

checkcontrast;5012;27162040;5419

./gen/tasktypes/dmem64_SIMD.sh 2;5029;30855511;6135
gen/tasktypes/onetomany/loadimage.sh 2;5035;26137995;5191

loadimage;5013;44079660;8793

./gen/tasktypes/dmem64_SIMD.sh 2;5028;31331707;6231
gen/tasktypes/onetomany/loadimage.sh 2;5035;26125849;5188

loadimage;5013;44010142;8779

./gen/tasktypes/dmem64_SIMD.sh 2;5030;31064984;6175
gen/tasktypes/onetomany/loadimage.sh 2;5034;26199213;5204

loadimage;5011;43684154;8717

./gen/tasktypes/m4x4smul.sh 2;5048;42823132;8483
gen/tasktypes/onetomany/greyscale.sh 2;5043;40207050;7972

greyscale;5089;37160061;7302

./gen/tasktypes/m4x4smul.sh 2;5047;41445755;8211
gen/tasktypes/onetomany/greyscale.sh 2;5043;38861717;7706

greyscale;5016;36463590;7269

./gen/tasktypes/m4x4smul.sh 2;5048;41337419;8188
gen/tasktypes/onetomany/greyscale.sh 2;5052;39015952;7722

greyscale;5096;37697841;7397

./gen/tasktypes/vmov_SIMD.sh 2;5027;28647631;5698
gen/tasktypes/onetomany/sharpencontrast.sh 2;5039;35407990;7026

sharpencontrast;5049;37154079;7358

./gen/tasktypes/vmov_SIMD.sh 2;5025;28665576;5704
gen/tasktypes/onetomany/sharpencontrast.sh 2;5037;35532318;7054

sharpencontrast;5055;37330288;7384

./gen/tasktypes/vmov_SIMD.sh 2;5031;28628772;5690
gen/tasktypes/onetomany/sharpencontrast.sh 2;5037;35346467;7017

sharpencontrast;5041;37079922;7355

./gen/tasktypes/m4x4smul.sh 2;5041;41450273;8222
gen/tasktypes/onetomany/copyimage.sh 2;5039;38806053;7701

copyimage;5015;36548307;7287

./gen/tasktypes/m4x4smul.sh 2;5040;41336564;8201
gen/tasktypes/onetomany/copyimage.sh 2;5046;38738732;7677

copyimage;5021;36288969;7227

./gen/tasktypes/m4x4smul.sh 2;5038;41499772;8237
gen/tasktypes/onetomany/copyimage.sh 2;5043;38733544;7680

copyimage;5020;36471952;7265

./gen/tasktypes/m4x4smul.sh 2;5042;41091509;8149
gen/tasktypes/onetomany/sobelh.sh 2;5044;40241596;7978

sobelh;5029;32227945;6408

./gen/tasktypes/m4x4smul.sh 2;5045;41498368;8225
gen/tasktypes/onetomany/sobelh.sh 2;5043;39356466;7804

sobelh;5049;32494606;6435

./gen/tasktypes/m4x4smul.sh 2;5041;41534378;8239
gen/tasktypes/onetomany/sobelh.sh 2;5040;40621356;8059

sobelh;5231;34147434;6527

./gen/tasktypes/m4x4smul.sh 2;5045;41678238;8261
gen/tasktypes/onetomany/sobelv.sh 2;5037;39438803;7829

sobelv;5225;32849098;6286

./gen/tasktypes/m4x4smul.sh 2;5045;41709304;8267
gen/tasktypes/onetomany/sobelv.sh 2;5044;39390464;7809

sobelv;5227;33132605;6338

./gen/tasktypes/m4x4smul.sh 2;5047;41763259;8274
gen/tasktypes/onetomany/sobelv.sh 2;5049;40635455;8048

sobelv;5240;32919899;6282

./gen/tasktypes/imul.sh 2;5032;29928452;5947
gen/tasktypes/onetomany/combineimgs.sh 2;5032;39606832;7870

combineimgs;5018;37394863;7452

./gen/tasktypes/imul.sh 2;5036;29835861;5924
gen/tasktypes/onetomany/combineimgs.sh 2;5034;39525838;7851

combineimgs;5014;37397426;7458

./gen/tasktypes/imul.sh 2;5036;29889755;5935
gen/tasktypes/onetomany/combineimgs.sh 2;5034;39592366;7864

combineimgs;5070;37962672;7487

./gen/tasktypes/dmem.sh 2;5047;35487153;7031
gen/tasktypes/onetomany/writeimage.sh 2;5045;26905510;5333

writeimage;5013;41227251;8224

./gen/tasktypes/dmem.sh 2;5045;33058936;6552
gen/tasktypes/onetomany/writeimage.sh 2;5035;27002128;5362

writeimage;5014;41133379;8203

./gen/tasktypes/dmem.sh 2;5048;35275301;6987
gen/tasktypes/onetomany/writeimage.sh 2;5035;27044791;5371

writeimage;5014;41182573;8213

./gen/tasktypes/m4x4smul_SIMD.sh 3;5040;47923217;9508
gen/tasktypes/onetomany/checkcontrast.sh 3;5031;39706136;7892

checkcontrast;5012;27911733;5568

./gen/tasktypes/m4x4smul_SIMD.sh 3;5040;48074584;9538
gen/tasktypes/onetomany/checkcontrast.sh 3;5031;39817037;7914

checkcontrast;5012;28045643;5595

./gen/tasktypes/m4x4smul_SIMD.sh 3;5038;48076964;9542
gen/tasktypes/onetomany/checkcontrast.sh 3;5032;39822774;7913

checkcontrast;5012;28167164;5619

./gen/tasktypes/dmem64_SIMD.sh 3;5029;43111462;8572
gen/tasktypes/onetomany/loadimage.sh 3;5036;35283296;7006

loadimage;5015;41088823;8193

./gen/tasktypes/dmem64_SIMD.sh 3;5030;43227977;8594
gen/tasktypes/onetomany/loadimage.sh 3;5043;35248140;6989

loadimage;5015;41219132;8219

./gen/tasktypes/dmem64_SIMD.sh 3;5029;43219128;8593
