app;duration;power
gen/rundadd.sh;1015;14904991
gen/runimul.sh;1008;14987449
gen/runv1x4smul_SIMD.sh;1010;15366050
gen/runshift.sh;1007;13245633
gen/rundmem64_SIMD.sh;1007;14297754
gen/runm4x4smul_SIMD.sh;1010;16514667
gen/rundsub64_SIMD.sh;1007;15174033
gen/runvconvert_SIMD.sh;1006;12872525
gen/rundmul64_SIMD.sh;1007;14879783
gen/runicompare.sh;1006;16455341
gen/rundmem.sh;1015;5551439
gen/runimem.sh;1006;14795800
gen/runm4x4smul.sh;85;2019831
gen/runnop.sh;1008;14035364
gen/runbranch.sh;1007;14041773
gen/rundmul.sh;1010;13605373
gen/runiadd.sh;1008;13820521
gen/runlogic.sh;1014;13834681
gen/runbitbyte.sh;1007;15506124
gen/runvmov_SIMD.sh;1009;14127039
gen/runimov.sh;1007;13232388
