app;duration;power
gen/rundadd.sh;1016;10994052
gen/runimul.sh;1013;7941935
gen/runv1x4smul_SIMD.sh;1012;10594029
gen/runshift.sh;1009;9102700
gen/rundmem64_SIMD.sh;1015;10385655
gen/runm4x4smul_SIMD.sh;1024;11539582
gen/rundsub64_SIMD.sh;1012;10929719
gen/runvconvert_SIMD.sh;1017;8796182
gen/rundmul64_SIMD.sh;1017;10768162
gen/runicompare.sh;1014;12013703
gen/rundmem.sh;1025;2632989
gen/runimem.sh;1007;10569675
gen/runm4x4smul.sh;91;-70617
gen/runnop.sh;1007;8592202
gen/runbranch.sh;1015;9410682
gen/rundmul.sh;1013;9647742
gen/runiadd.sh;1017;10015781
gen/runlogic.sh;1024;8846902
gen/runbitbyte.sh;1008;10760898
gen/runvmov_SIMD.sh;1017;9237708
gen/runimov.sh;1008;9675146
