app;duration;power
gen/rundadd.sh;1016;9753821
gen/runimul.sh;1010;9850316
gen/runv1x4smul_SIMD.sh;1011;10698032
gen/runshift.sh;1007;9174110
gen/rundmem64_SIMD.sh;1007;10613865
gen/runm4x4smul_SIMD.sh;1016;12807035
gen/rundsub64_SIMD.sh;1007;11720001
gen/runvconvert_SIMD.sh;1016;9890966
gen/rundmul64_SIMD.sh;1011;10969943
gen/runicompare.sh;1007;12845792
gen/rundmem.sh;1026;2537408
gen/runimem.sh;1013;12012726
gen/runm4x4smul.sh;130;-2948357
gen/runnop.sh;1013;10143042
gen/runbranch.sh;1008;8169900
gen/rundmul.sh;1014;10855868
gen/runiadd.sh;1012;20383249
gen/runlogic.sh;1017;7972880
gen/runbitbyte.sh;1013;17537858
gen/runvmov_SIMD.sh;1013;9364356
gen/runimov.sh;1011;11242769
