app;duration;power
gen/rundadd.sh;1011;2482904
gen/runimul.sh;1008;8530070
gen/runv1x4smul_SIMD.sh;1006;-1687191
gen/runshift.sh;1006;6567244
gen/rundmem64_SIMD.sh;1008;-4623889
gen/runm4x4smul_SIMD.sh;1011;2197015
gen/rundsub64_SIMD.sh;1007;9334937
gen/runvconvert_SIMD.sh;1007;3531425
gen/rundmul64_SIMD.sh;1007;7685954
gen/runicompare.sh;1006;10019750
gen/rundmem.sh;1016;-4217274
gen/runimem.sh;1008;9673315
gen/runm4x4smul.sh;84;-3883169
gen/runssub32_SIMD.sh;4;-5112047
gen/runnop.sh;1005;5869492
gen/runbranch.sh;1006;5214708
gen/runsmem32_SIMD.sh;5;-11221713
gen/runsmul32_SIMD.sh;1007;1768306
gen/.;1;-14279931
gen/rundmul.sh;1010;9583044
gen/runiadd.sh;1008;3052848
gen/runlogic.sh;1015;386901
gen/runbitbyte.sh;1011;8805153
gen/..;1;-24499876
gen/runvmov_SIMD.sh;1007;494017
gen/runimov.sh;1006;5734726
