app;duration;power
gen/rundadd.sh;1010;11836395
gen/runimul.sh;1008;11776460
gen/runv1x4smul_SIMD.sh;1005;10967745
gen/runshift.sh;1010;13464076
gen/rundmem64_SIMD.sh;1007;12014983
gen/runm4x4smul_SIMD.sh;1009;13602687
gen/rundsub64_SIMD.sh;1007;5215563
gen/runvconvert_SIMD.sh;1007;11116794
gen/rundmul64_SIMD.sh;1007;13237210
gen/runicompare.sh;1009;14992881
gen/rundmem.sh;1018;-1700618
gen/runimem.sh;1006;8132060
gen/runm4x4smul.sh;108;-1594356
gen/runssub32_SIMD.sh;4;-6739851
gen/runnop.sh;1009;13974390
gen/runbranch.sh;1006;8742470
gen/runsmem32_SIMD.sh;4;-3450675
gen/runsmul32_SIMD.sh;1008;12275603
gen/.;1;-4108570
gen/rundmul.sh;1013;10607884
gen/runiadd.sh;1010;8316324
gen/runlogic.sh;1014;11870209
gen/runbitbyte.sh;1008;3935292
gen/..;1;-6899274
gen/runvmov_SIMD.sh;1008;11538727
gen/runimov.sh;1006;8470193
