app;duration;power
gen/rundadd.sh;1021;7794170
gen/runimul.sh;1020;9212989
gen/runv1x4smul_SIMD.sh;1011;18924757
gen/runshift.sh;1012;7590984
gen/rundmem64_SIMD.sh;1009;9413245
gen/runm4x4smul_SIMD.sh;1010;13817896
gen/rundsub64_SIMD.sh;1007;11760651
gen/runvconvert_SIMD.sh;1010;9208838
gen/rundmul64_SIMD.sh;1010;11178498
gen/runicompare.sh;1011;12649688
gen/rundmem.sh;1016;2544916
gen/runimem.sh;1006;10053319
gen/runm4x4smul.sh;84;-640318
gen/runnop.sh;1005;8839210
gen/runbranch.sh;1006;10501254
gen/rundmul.sh;1011;10083715
gen/runiadd.sh;1016;11082003
gen/runlogic.sh;1017;5771165
gen/runbitbyte.sh;1009;15354514
gen/runvmov_SIMD.sh;1007;8982643
gen/runimov.sh;1008;10076269
