app;duration;power
genrundadd.sh;2;9429358
genrunimul.sh;2;-2639886
genrunv1x4smul_SIMD.sh;1;-3786368
genrunshift.sh;1;-2593500
genrundmem64_SIMD.sh;2;-2776117
genrunm4x4smul_SIMD.sh;1;-6156417
genrundsub64_SIMD.sh;1;-2225398
genrunvconvert_SIMD.sh;4;-3332267
genrundmul64_SIMD.sh;2;-3125969
genrunicompare.sh;3;-2462580
genrundmem.sh;2;-2836358
genrunimem.sh;2;-2648797
genrunm4x4smul.sh;2;-2249506
genrunnop.sh;1;-2368219
genrunbranch.sh;1;-2077632
genrundmul.sh;1;-2946832
genruniadd.sh;2;-3287040
genrunlogic.sh;3;-2293269
genrunbitbyte.sh;3;-2621820
genrunvmov_SIMD.sh;3;-2143304
genrunimov.sh;2;-2701897
