app;duration;power
gen/rundadd.sh;1009;7852458
gen/runimul.sh;1008;12555449
gen/runv1x4smul_SIMD.sh;1006;10069310
gen/runshift.sh;1015;10386387
gen/rundmem64_SIMD.sh;1007;7001446
gen/runm4x4smul_SIMD.sh;1009;6897321
gen/rundsub64_SIMD.sh;1012;11615204
gen/runvconvert_SIMD.sh;1006;9360937
gen/rundmul64_SIMD.sh;1007;11076449
gen/runicompare.sh;1007;13203641
gen/rundmem.sh;1014;2727471
gen/runimem.sh;1006;11980621
gen/runm4x4smul.sh;83;-1176022
gen/runssub32_SIMD.sh;5;-3392935
gen/runnop.sh;1014;10185459
gen/runbranch.sh;1007;13226650
gen/runsmem32_SIMD.sh;6;-5347093
gen/runsmul32_SIMD.sh;1009;13519680
gen/rundmul.sh;1010;9867650
gen/runiadd.sh;1009;13863063
gen/runlogic.sh;1015;12460418
gen/runbitbyte.sh;1007;11958160
gen/runvmov_SIMD.sh;1006;9945043
gen/runimov.sh;1006;11875336
