app;duration;power
genrundadd.sh;0;1084165
genrunimul.sh;1;1053830
genrunv1x4smul_SIMD.sh;1;1090757
genrunshift.sh;0;1065793
genrundmem64_SIMD.sh;1;1174985
genrunm4x4smul_SIMD.sh;0;1065000
genrundsub64_SIMD.sh;1;1058225
genrunvconvert_SIMD.sh;1;1126035
genrundmul64_SIMD.sh;1;1137388
genrunicompare.sh;1;1120786
genrundmem.sh;1;1105710
genrunimem.sh;1;1088742
genrunm4x4smul.sh;1;1189816
genrunnop.sh;1;1251583
genrunbranch.sh;1;1055234
genrundmul.sh;1;1026731
genruniadd.sh;1;1087339
genrunlogic.sh;1;1109739
genrunbitbyte.sh;1;1047971
genrunvmov_SIMD.sh;1;1144528
genrunimov.sh;1;1270688
