app;duration;power
gen/rundadd.sh;1009;10781161
gen/runimul.sh;1010;14437402
gen/runv1x4smul_SIMD.sh;1005;11066989
gen/runshift.sh;1006;9714635
gen/rundmem64_SIMD.sh;1009;12843960
gen/runm4x4smul_SIMD.sh;1010;11059115
gen/rundsub64_SIMD.sh;1006;11683686
gen/runvconvert_SIMD.sh;1008;5419542
gen/rundmul64_SIMD.sh;1008;11284455
gen/runicompare.sh;1006;13153042
gen/rundmem.sh;1014;2568353
gen/runimem.sh;1013;17076495
gen/runm4x4smul.sh;83;-663756
gen/runssub32_SIMD.sh;4;-2160944
gen/runnop.sh;1006;8978493
gen/runbranch.sh;1006;10553806
gen/runsmem32_SIMD.sh;5;-4747180
gen/runsmul32_SIMD.sh;1018;10768344
gen/.;0;-1907588
gen/rundmul.sh;1010;14158899
gen/runiadd.sh;1007;9134315
gen/runlogic.sh;1013;9684545
gen/runbitbyte.sh;1007;6376022
gen/..;1;-1833431
gen/runvmov_SIMD.sh;1007;10035069
gen/runimov.sh;1007;10321447
