app;duration;power
gen/rundadd.sh;1020;10664463
gen/runimul.sh;1021;9873143
gen/runv1x4smul_SIMD.sh;1010;10670139
gen/runshift.sh;1008;9544410
gen/rundmem64_SIMD.sh;1014;10559360
gen/runm4x4smul_SIMD.sh;1012;12215545
gen/rundsub64_SIMD.sh;1010;11737518
gen/runvconvert_SIMD.sh;1015;18057327
gen/rundmul64_SIMD.sh;1013;15325706
gen/runicompare.sh;1009;4817188
gen/rundmem.sh;1014;2261896
gen/runimem.sh;1010;6780988
gen/runm4x4smul.sh;86;-976926
gen/runnop.sh;1011;10345126
gen/runbranch.sh;1010;10095922
gen/rundmul.sh;1020;9310646
gen/runiadd.sh;1013;11924652
gen/runlogic.sh;1019;8272195
gen/runbitbyte.sh;1009;20290842
gen/runvmov_SIMD.sh;1007;7501995
gen/runimov.sh;1014;19559703
