app;duration;power
gen/rundadd.sh;1015;12916410
gen/runimul.sh;1009;10103062
gen/runv1x4smul_SIMD.sh;1006;10986788
gen/runshift.sh;1006;9259863
gen/rundmem64_SIMD.sh;1007;10842989
gen/runm4x4smul_SIMD.sh;1019;11455354
gen/rundsub64_SIMD.sh;1015;11042818
gen/runvconvert_SIMD.sh;1008;8755837
gen/rundmul64_SIMD.sh;1008;11050693
gen/runicompare.sh;1018;12556731
gen/rundmem.sh;1024;2565423
gen/runimem.sh;1008;16815631
gen/runm4x4smul.sh;102;-2448420
gen/runnop.sh;1006;8900063
gen/runbranch.sh;1013;9499243
gen/rundmul.sh;1012;11337495
gen/runiadd.sh;1010;10535374
gen/runlogic.sh;1020;8975624
gen/runbitbyte.sh;1014;11059542
gen/runvmov_SIMD.sh;1008;9582556
gen/runimov.sh;1014;9646031
