app;duration;power
gen/rundadd.sh;1012;11912872
gen/runimul.sh;1008;10021642
gen/runv1x4smul_SIMD.sh;1005;13722987
gen/runshift.sh;1006;4776477
gen/rundmem64_SIMD.sh;1007;11395906
gen/runm4x4smul_SIMD.sh;1010;12791043
gen/rundsub64_SIMD.sh;1008;12333954
gen/runvconvert_SIMD.sh;1008;10843844
gen/rundmul64_SIMD.sh;1007;14500268
gen/runicompare.sh;1008;14347496
gen/rundmem.sh;1014;-652221
gen/runimem.sh;1007;11272249
gen/runm4x4smul.sh;123;-4191518
gen/runnop.sh;1010;10773716
gen/runbranch.sh;1006;10172521
gen/rundmul.sh;1012;9331763
gen/runiadd.sh;1009;10373570
gen/runlogic.sh;1016;11390962
gen/runbitbyte.sh;1008;10768955
gen/runvmov_SIMD.sh;1007;15258323
gen/runimov.sh;1012;4062245
