app;duration;power;leistung
./gen/tasktypes/m4x4smul_SIMD.sh 1;5048;23015200;4559
gen/tasktypes/onetomany/checkcontrast.sh 1;5037;20047373;3980

checkcontrast;4945;26001642;5258

./gen/tasktypes/m4x4smul_SIMD.sh 1;5031;23131349;4597
gen/tasktypes/onetomany/checkcontrast.sh 1;5032;19682994;3911

checkcontrast;3303;16916095;5121

./gen/tasktypes/m4x4smul_SIMD.sh 1;5029;23119631;4597
gen/tasktypes/onetomany/checkcontrast.sh 1;5029;20093455;3995

checkcontrast;4953;25352169;5118

./gen/tasktypes/dmem64_SIMD.sh 1;5028;20758004;4128
gen/tasktypes/onetomany/loadimage.sh 1;5038;18011917;3575

loadimage;1525;8809853;5776

./gen/tasktypes/dmem64_SIMD.sh 1;5025;20869942;4153
gen/tasktypes/onetomany/loadimage.sh 1;5031;17987320;3575

loadimage;1720;9866674;5736

./gen/tasktypes/dmem64_SIMD.sh 1;5024;20840340;4148
gen/tasktypes/onetomany/loadimage.sh 1;5031;17757462;3529

loadimage;1715;9862096;5750

./gen/tasktypes/m4x4smul.sh 1;5040;25805598;5120
gen/tasktypes/onetomany/greyscale.sh 1;5052;24575010;4864

greyscale;4975;22921083;4607

./gen/tasktypes/m4x4smul.sh 1;5034;25605587;5086
gen/tasktypes/onetomany/greyscale.sh 1;5034;24238403;4814

greyscale;4980;23078616;4634

./gen/tasktypes/m4x4smul.sh 1;5032;25594783;5086
gen/tasktypes/onetomany/greyscale.sh 1;5043;24562132;4870

greyscale;4881;23160891;4745

./gen/tasktypes/vmov_SIMD.sh 1;5027;19622997;3903
gen/tasktypes/onetomany/sharpencontrast.sh 1;5042;22646793;4491

sharpencontrast;4885;23035403;4715

./gen/tasktypes/vmov_SIMD.sh 1;5030;19152538;3807
gen/tasktypes/onetomany/sharpencontrast.sh 1;5033;22524967;4475

sharpencontrast;4881;22859988;4683

./gen/tasktypes/vmov_SIMD.sh 1;5025;19553600;3891
gen/tasktypes/onetomany/sharpencontrast.sh 1;5037;22462223;4459

sharpencontrast;4891;23044558;4711

./gen/tasktypes/m4x4smul.sh 1;5035;25673091;5098
gen/tasktypes/onetomany/copyimage.sh 1;5045;24172851;4791

copyimage;4610;21616583;4689

./gen/tasktypes/m4x4smul.sh 1;5035;25580440;5080
gen/tasktypes/onetomany/copyimage.sh 1;5035;23956542;4758

copyimage;4578;21429328;4680

./gen/tasktypes/m4x4smul.sh 1;5032;25639400;5095
gen/tasktypes/onetomany/copyimage.sh 1;5035;24038330;4774

copyimage;4969;23285829;4686

./gen/tasktypes/m4x4smul.sh 1;5036;25594966;5082
gen/tasktypes/onetomany/sobelh.sh 1;5047;24669553;4887

sobelh;4771;21798345;4568

./gen/tasktypes/m4x4smul.sh 1;5038;25685725;5098
gen/tasktypes/onetomany/sobelh.sh 1;5039;24535704;4869

sobelh;4817;22118291;4591

./gen/tasktypes/m4x4smul.sh 1;5040;25353450;5030
gen/tasktypes/onetomany/sobelh.sh 1;5039;24708921;4903

sobelh;4746;22010137;4637

./gen/tasktypes/m4x4smul.sh 1;5040;25650142;5089
gen/tasktypes/onetomany/sobelv.sh 1;5049;24654661;4883

sobelv;4769;21221626;4449

./gen/tasktypes/m4x4smul.sh 1;5036;25569331;5077
gen/tasktypes/onetomany/sobelv.sh 1;5041;24498656;4859

sobelv;4783;21339056;4461

./gen/tasktypes/m4x4smul.sh 1;5040;25673824;5094
gen/tasktypes/onetomany/sobelv.sh 1;5040;24730405;4906

sobelv;4793;21463629;4478

./gen/tasktypes/imul.sh 1;5029;19831676;3943
gen/tasktypes/onetomany/combineimgs.sh 1;5042;24486449;4856

combineimgs;4872;22495975;4617

./gen/tasktypes/imul.sh 1;5027;19683299;3915
gen/tasktypes/onetomany/combineimgs.sh 1;5036;24533873;4871

combineimgs;4879;22472293;4605

./gen/tasktypes/imul.sh 1;5029;19600597;3897
gen/tasktypes/onetomany/combineimgs.sh 1;5036;24425291;4850

combineimgs;4875;22445194;4604

./gen/tasktypes/dmem.sh 1;5038;22391850;4444
gen/tasktypes/onetomany/writeimage.sh 1;5039;18040848;3580

writeimage;3832;24576353;6413

./gen/tasktypes/dmem.sh 1;5042;21207160;4206
