app;duration;power;leistung
./gen/tasktypes/m4x4smul_SIMD.sh 1;5059;22180119;4384
gen/tasktypes/onetomany/checkcontrast.sh 1;5030;19656871;3907

checkcontrast;3305;17037371;5155

./gen/tasktypes/m4x4smul_SIMD.sh 1;5033;22145878;4400
gen/tasktypes/onetomany/checkcontrast.sh 1;5027;19645274;3907

checkcontrast;4951;25258907;5101

./gen/tasktypes/m4x4smul_SIMD.sh 1;5033;22153324;4401
gen/tasktypes/onetomany/checkcontrast.sh 1;5028;20124216;4002

checkcontrast;4945;25213742;5098

./gen/tasktypes/dmem64_SIMD.sh 1;5031;20885627;4151
gen/tasktypes/onetomany/loadimage.sh 1;5035;17745682;3524

loadimage;1943;11210481;5769

./gen/tasktypes/dmem64_SIMD.sh 1;5029;20774056;4130
gen/tasktypes/onetomany/loadimage.sh 1;5030;17807450;3540

loadimage;1516;8658059;5711

./gen/tasktypes/dmem64_SIMD.sh 1;5027;20816903;4141
gen/tasktypes/onetomany/loadimage.sh 1;5026;17878311;3557

loadimage;1952;11274568;5775

./gen/tasktypes/m4x4smul.sh 1;5046;25676997;5088
gen/tasktypes/onetomany/greyscale.sh 1;5043;24364562;4831

greyscale;4969;22836367;4595

./gen/tasktypes/m4x4smul.sh 1;5041;25556881;5069
gen/tasktypes/onetomany/greyscale.sh 1;5040;24448851;4850

greyscale;4972;22699344;4565

./gen/tasktypes/m4x4smul.sh 1;5040;25683040;5095
gen/tasktypes/onetomany/greyscale.sh 1;5044;24495359;4856

greyscale;4974;22678470;4559

./gen/tasktypes/vmov_SIMD.sh 1;5028;18723158;3723
gen/tasktypes/onetomany/sharpencontrast.sh 1;5034;22486698;4466

sharpencontrast;4879;22489567;4609

./gen/tasktypes/vmov_SIMD.sh 1;5028;18938794;3766
gen/tasktypes/onetomany/sharpencontrast.sh 1;5035;22370853;4443

sharpencontrast;4886;22586245;4622

./gen/tasktypes/vmov_SIMD.sh 1;5027;18760938;3732
gen/tasktypes/onetomany/sharpencontrast.sh 1;5033;22470523;4464

sharpencontrast;4880;22227909;4554

./gen/tasktypes/m4x4smul.sh 1;5042;25609858;5079
gen/tasktypes/onetomany/copyimage.sh 1;5034;24119140;4791

copyimage;4595;21256354;4625

./gen/tasktypes/m4x4smul.sh 1;5035;25642024;5092
gen/tasktypes/onetomany/copyimage.sh 1;5038;24199096;4803

copyimage;4985;22636783;4540

./gen/tasktypes/m4x4smul.sh 1;5030;25561397;5081
gen/tasktypes/onetomany/copyimage.sh 1;5031;24128296;4795

copyimage;4951;23134646;4672

./gen/tasktypes/m4x4smul.sh 1;5032;25640682;5095
gen/tasktypes/onetomany/sobelh.sh 1;5037;24680234;4899

sobelh;4786;21559698;4504

./gen/tasktypes/m4x4smul.sh 1;5046;25643306;5081
gen/tasktypes/onetomany/sobelh.sh 1;5043;24611082;4880

sobelh;4785;21702276;4535

./gen/tasktypes/m4x4smul.sh 1;5039;25629084;5086
gen/tasktypes/onetomany/sobelh.sh 1;5044;24718869;4900

sobelh;4777;21702459;4543

./gen/tasktypes/m4x4smul.sh 1;5031;25690180;5106
gen/tasktypes/onetomany/sobelv.sh 1;5039;24692685;4900

sobelv;4737;21674933;4575

./gen/tasktypes/m4x4smul.sh 1;5040;25678279;5094
gen/tasktypes/onetomany/sobelv.sh 1;5031;24677000;4904

sobelv;4741;20897468;4407

./gen/tasktypes/m4x4smul.sh 1;5045;25583309;5071
gen/tasktypes/onetomany/sobelv.sh 1;5047;24338561;4822

sobelv;4771;21100349;4422

./gen/tasktypes/imul.sh 1;5028;19599681;3898
gen/tasktypes/onetomany/combineimgs.sh 1;5035;24505187;4866

combineimgs;4872;22249821;4566

./gen/tasktypes/imul.sh 1;5030;19721019;3920
gen/tasktypes/onetomany/combineimgs.sh 1;5036;24603086;4885

combineimgs;4871;22229923;4563

./gen/tasktypes/imul.sh 1;5033;19610851;3896
gen/tasktypes/onetomany/combineimgs.sh 1;5034;24496031;4866

combineimgs;4875;22234685;4560

./gen/tasktypes/dmem.sh 1;5039;21568792;4280
gen/tasktypes/onetomany/writeimage.sh 1;5035;17845902;3544

writeimage;4466;28563099;6395

./gen/tasktypes/dmem.sh 1;5031;21613470;4296
gen/tasktypes/onetomany/writeimage.sh 1;5027;18023147;3585

writeimage;4488;28572437;6366

./gen/tasktypes/dmem.sh 1;5040;21625433;4290
gen/tasktypes/onetomany/writeimage.sh 1;5030;17872085;3553

writeimage;5502;34822726;6329

./gen/tasktypes/m4x4smul_SIMD.sh 2;5032;34552219;6866
gen/tasktypes/onetomany/checkcontrast.sh 2;5030;28990465;5763

