app;duration;power;leistung
./gen/tasktypes/m4x4smul_SIMD.sh 1;5062;22360539;4417
gen/tasktypes/onetomany/checkcontrast.sh 1;5048;19806834;3923

checkcontrast;4937;25342220;5133

./gen/tasktypes/m4x4smul_SIMD.sh 1;5049;22580081;4472
gen/tasktypes/onetomany/checkcontrast.sh 1;5044;19691966;3904

checkcontrast;4952;25951533;5240

./gen/tasktypes/m4x4smul_SIMD.sh 1;5052;22675967;4488
gen/tasktypes/onetomany/checkcontrast.sh 1;5043;19665172;3899

checkcontrast;4945;25195798;5095

./gen/tasktypes/dmem64_SIMD.sh 1;5045;20827705;4128
gen/tasktypes/onetomany/loadimage.sh 1;5045;17980667;3564

loadimage;1979;11447419;5784

./gen/tasktypes/dmem64_SIMD.sh 1;5048;20834481;4127
gen/tasktypes/onetomany/loadimage.sh 1;5045;17997208;3567

loadimage;1973;11397981;5776

./gen/tasktypes/dmem64_SIMD.sh 1;5050;21039863;4166
gen/tasktypes/onetomany/loadimage.sh 1;5046;17898697;3547

loadimage;1970;11264009;5717

./gen/tasktypes/m4x4smul.sh 1;5054;25856074;5115
gen/tasktypes/onetomany/greyscale.sh 1;5050;24714109;4893

greyscale;4879;22303409;4571

./gen/tasktypes/m4x4smul.sh 1;5049;25618098;5073
gen/tasktypes/onetomany/greyscale.sh 1;5056;24678709;4881

greyscale;4974;23079836;4640

./gen/tasktypes/m4x4smul.sh 1;5056;25608943;5065
gen/tasktypes/onetomany/greyscale.sh 1;5055;24618589;4870

greyscale;4880;22501224;4610

./gen/tasktypes/vmov_SIMD.sh 1;5044;19243237;3815
gen/tasktypes/onetomany/sharpencontrast.sh 1;5042;22793399;4520

sharpencontrast;4879;22321721;4575

./gen/tasktypes/vmov_SIMD.sh 1;5044;19138196;3794
gen/tasktypes/onetomany/sharpencontrast.sh 1;5049;22731143;4502

sharpencontrast;4875;22350895;4584

./gen/tasktypes/vmov_SIMD.sh 1;5043;19190014;3805
gen/tasktypes/onetomany/sharpencontrast.sh 1;5048;22716556;4500

sharpencontrast;4873;22651371;4648

./gen/tasktypes/m4x4smul.sh 1;5057;25599666;5062
gen/tasktypes/onetomany/copyimage.sh 1;5050;24258544;4803

copyimage;4576;21371345;4670

./gen/tasktypes/m4x4smul.sh 1;5048;25702693;5091
gen/tasktypes/onetomany/copyimage.sh 1;5049;24289366;4810

copyimage;4574;21338813;4665

./gen/tasktypes/m4x4smul.sh 1;5048;25587642;5068
gen/tasktypes/onetomany/copyimage.sh 1;5049;24215636;4796

copyimage;4587;21438056;4673

./gen/tasktypes/m4x4smul.sh 1;5048;25671199;5085
gen/tasktypes/onetomany/sobelh.sh 1;5055;24810666;4908

sobelh;4747;21643317;4559

./gen/tasktypes/m4x4smul.sh 1;5057;25640865;5070
gen/tasktypes/onetomany/sobelh.sh 1;5054;24760739;4899

sobelh;4752;21740118;4574

./gen/tasktypes/m4x4smul.sh 1;5056;25681819;5079
gen/tasktypes/onetomany/sobelh.sh 1;5054;24779783;4903

sobelh;4803;21827398;4544

./gen/tasktypes/m4x4smul.sh 1;5053;25741084;5094
gen/tasktypes/onetomany/sobelv.sh 1;5054;24486998;4845

sobelv;4792;21146430;4412

./gen/tasktypes/m4x4smul.sh 1;5063;25665400;5069
gen/tasktypes/onetomany/sobelv.sh 1;5058;24866452;4916

sobelv;4796;21069343;4393

./gen/tasktypes/m4x4smul.sh 1;5059;25564632;5053
gen/tasktypes/onetomany/sobelv.sh 1;5055;24685545;4883

sobelv;4609;20335825;4412

./gen/tasktypes/imul.sh 1;5044;19734508;3912
gen/tasktypes/onetomany/combineimgs.sh 1;5050;24728270;4896

combineimgs;4871;22205143;4558

./gen/tasktypes/imul.sh 1;5047;19703990;3904
gen/tasktypes/onetomany/combineimgs.sh 1;5050;24650938;4881

combineimgs;4863;22317448;4589

./gen/tasktypes/imul.sh 1;5043;19659313;3898
gen/tasktypes/onetomany/combineimgs.sh 1;5049;24605100;4873

combineimgs;4870;22193608;4557

./gen/tasktypes/dmem.sh 1;5059;21714849;4292
gen/tasktypes/onetomany/writeimage.sh 1;5046;18022354;3571

writeimage;4559;28986987;6358

./gen/tasktypes/dmem.sh 1;5052;21804815;4316
gen/tasktypes/onetomany/writeimage.sh 1;5043;18079666;3585

writeimage;4453;28587085;6419

./gen/tasktypes/dmem.sh 1;5047;21525396;4264
gen/tasktypes/onetomany/writeimage.sh 1;5042;18001785;3570

writeimage;3837;24606932;6413

./gen/tasktypes/m4x4smul_SIMD.sh 2;5050;34619479;6855
gen/tasktypes/onetomany/checkcontrast.sh 2;5040;29254686;5804

checkcontrast;9879;51899892;5253

./gen/tasktypes/m4x4smul_SIMD.sh 2;5057;34643771;6850
gen/tasktypes/onetomany/checkcontrast.sh 2;5042;29124132;5776

checkcontrast;9880;52059132;5269

./gen/tasktypes/m4x4smul_SIMD.sh 2;5057;34795932;6880
gen/tasktypes/onetomany/checkcontrast.sh 2;5043;29212938;5792

checkcontrast;9875;52506091;5317

./gen/tasktypes/dmem64_SIMD.sh 2;5043;31060223;6159
gen/tasktypes/onetomany/loadimage.sh 2;5052;26261469;5198

loadimage;2011;16961504;8434

./gen/tasktypes/dmem64_SIMD.sh 2;5043;31096112;6166
gen/tasktypes/onetomany/loadimage.sh 2;5048;26270502;5204

loadimage;2023;17218157;8511

./gen/tasktypes/dmem64_SIMD.sh 2;5044;31146038;6174
gen/tasktypes/onetomany/loadimage.sh 2;5048;26217767;5193

loadimage;2343;19134411;8166

./gen/tasktypes/m4x4smul.sh 2;5075;42171035;8309
gen/tasktypes/onetomany/greyscale.sh 2;5060;39005088;7708

greyscale;4890;35567108;7273

./gen/tasktypes/m4x4smul.sh 2;5058;42601698;8422
gen/tasktypes/onetomany/greyscale.sh 2;5059;40197102;7945

greyscale;4883;35900482;7352

./gen/tasktypes/m4x4smul.sh 2;5069;41493669;8185
gen/tasktypes/onetomany/greyscale.sh 2;5073;39005332;7688

greyscale;4791;35669037;7445

./gen/tasktypes/vmov_SIMD.sh 2;5045;28690722;5686
gen/tasktypes/onetomany/sharpencontrast.sh 2;5056;35476533;7016

sharpencontrast;4899;35892120;7326

./gen/tasktypes/vmov_SIMD.sh 2;5047;28660266;5678
gen/tasktypes/onetomany/sharpencontrast.sh 2;5054;35404877;7005

sharpencontrast;4902;36129729;7370

./gen/tasktypes/vmov_SIMD.sh 2;5047;28758898;5698
gen/tasktypes/onetomany/sharpencontrast.sh 2;5053;35432954;7012

sharpencontrast;4900;35929534;7332

./gen/tasktypes/m4x4smul.sh 2;5069;41382767;8163
